User Number,Title,Author_Name,App_Version,Rating,Review,Date
27,Ride to various locations places,VVRAMANI,4.8.20,5,"Excellent website and App.  Good efficient drivers and nice cabs.  Well appreciated. 
Prefer Always OLA.  I will recommend to others too.
Venkataramani V
9343865878",8/20/2016 0:00
28,pathetic cab service,negi04,4.8.20,1,20 days back i have booked cab by cash later on its coming as u need to pay this much amount because u used ola postpaid,8/21/2016 0:00
29,Not opening in iphone 8,nniiinnja,4.8.20,2,"I have tried 7-8 times on wifi/data, it?s getting stuck on loading screen",8/22/2016 0:00
30,App not working,parag90,4.8.20,1,App is stuck at splash screen. Unable to proceed.,8/23/2016 0:00
31,Fares keep fluctuating every minute,FPettiwala,4.8.20,1,"I wish they show all fares in one screen, after we click on micro and then on mini to see the fare, when we come back to micro, it increases the fare and many a times, it doesn?t show the fare for a longtime",8/24/2016 0:00
32,OLA REVIEW,NADEEM NOORANI,4.8.20,5,FARE CAN A LITTLE LOWERED REST THE OLA IS REALLY GOOD,8/25/2016 0:00
33,Poor service and no response to complaints,ishita 12,4.8.20,1,I travelled from my home to amausi airport.The driver took extra money by feeding wrong readings.Instead of 80 km he entered 110 km.I registered a complaint against the driver but there is no response.Worst service ever.Extremely poor.Never use ola.The driver took extra 330 rupees from me.,8/26/2016 0:00
34,Need to fix,rock77722,4.8.20,1,"From last update both ola app and ola money doesn't work at all 
Stuck and crash!!
Doesn't work at all 
Need fix all the bugs asap",8/27/2016 0:00
35,Extremely fine,s07760,4.8.20,5,We are appreciated with your prompt service,8/28/2016 0:00
36,Cancellation charges levied even though mistake was from driver?s end,kamal digital marketer,4.8.20,3,You guys has charged cancellation charges even though it was the driver call... and if i try to connect with you over the support you had put on hold for good 20minutes... pathetic,8/29/2016 0:00
37,Driver,Nutan Soparkar,4.8.20,5,"Very good !!!
Very Cooperative !!!
Very nice!!!
I love my ride <U+0001F44C><U+0001F3FC><U+0001F44C><U+0001F3FC><U+0001F44C><U+0001F3FC>",8/30/2016 0:00
38,Worst Service,PrashantJadhav,4.8.20,1,Ola charged me double the amount it was showing while booking a Mini. Also the payment mode got changed automatically during the ride..and the reason support team gave was very illogical and worst.. code co conduct is very worst.. Ola just looting their customers,8/31/2016 0:00
39,Tumchya aaichi pucchi,hardik44,4.8.20,1,"You deserve 0 zars aai zhavadyanno....

Driver reject for pickup
And old charged <U+20B9>15

Gandit ghalun ghya .... shett tumch app parat kadhi vaparnar nhi",9/1/2016 0:00
40,Ola Stopped Responding,Hrid0501,4.8.20,1,After this update ola app stopped responding please check ..i am iphone user have a look and fix it as i have to clear my dues,9/2/2016 0:00
41,Not happy,Urvashi1996,4.8.20,3,"Every day , minimum 3 cabs cancel just because of my destination. And it?s just not here in Bangalore. It?s happened everywhere. And on top of that they say the excuse of punctured tire. What kind of service is this ?!",9/3/2016 0:00
42,Not opening on iOS. Please fix it,Vamcys,4.8.20,1,Not able to open the app on iOS,9/4/2016 0:00
43,Cancellation fee,san1507,4.8.20,3,U shd reduce the cancellation fee nd make it easy for customers to commute freely ontime,9/5/2016 0:00
44,Could not detect location,keno@<U+20B9>&keno,4.8.20,1,After the last update the app is not listed in the location service. It gets stuck in the opening screen since it is unable to use the location.,9/6/2016 0:00
45,Highly dissatisfied and disappointed customer,singh210196,4.8.20,1,"The drivers take LONGER routes. This has happened to me 4 times. Every time i think that maybe last time got a bad experience, maybe wont happen this time. A 75km journey, which i take every week was changed to 110 km. Was working on the laptop hence didnt see where the driver was going. NOT acceptable at all! Its a highway so i cant get off/say anything to the driver. Hence the dilemma. Pathetic. Not sure if its the algorithm with this company or the drivers wish to take more money.",9/7/2016 0:00
46,Worst OLA booking exp in iOS,Sivaprakash.r,4.8.20,1,Worst application to book cab don?t trust if you are going outside area or city.. When I?m booking details ll not come and app hangs many time in last few years not rectified.. Always hanging app,9/8/2016 0:00
47,Complain,Bhaggu<U+0001F605>,4.8.20,1,"Charged 234 from Airport Ahmedabad to Gita mandir bus station...
Highest

Today 2 of drivers were not taking my call..",9/9/2016 0:00
48,Satisfactory,FahadAhmad,4.8.20,5,But little much costly,9/10/2016 0:00
49,Charges,syeda meena,4.8.20,2,Compare to uber u guys are charging more than uber  suppose if uber has is charging 100 u guys are charging 130 to 140,9/11/2016 0:00
50,Ola is a cheat with no customer care policy,bisht2011,4.8.20,1,For a simple ride of 800 rs they have charged me 2092 rs. and the customer care does not have measure to put up a complaint as according to them it?s genuine charges. They are a big cheat. I was using Ola very frequently but will stop using it due to their pathetic services and exorbitant charges.,9/12/2016 0:00
51,Ola app issue,ANTHATI VIKAS,4.8.20,1,I am very happy with the service. Last time I updated Ola app to latest version present on iOS AppStore. From then I can?t open the app. I am tired of deleting and reinstalling the app each time I need to open Ola app.  So As I felt with no option I had switched to Uber. Please do something or else you are going to lose a customer. Now don?t ask me to write again to your help@olacabs. They are worst.  No quick solution was provided.,9/13/2016 0:00
52,Better then that of uber,pranjal borah,4.8.20,5,Great Ola,9/14/2016 0:00
53,Always keep on asking for review repeatedly,Jeevananth7,4.8.20,1,"Worst app, always keep on asking for review and not allowing to make new booking, even after writing review.",9/15/2016 0:00
54,Ola team please help!,Venom0045,4.8.20,1,"The review of the last driver is popping up again and again, even though I?ve already submitted the rating for the same so many times. Can?t book any more cabs because this pop up just keeps reoccurring.

Ola team please help.",9/16/2016 0:00
55,Payments issues,Ankur 112,4.8.20,2,"Earlier ago I was recommended Ola to book cabs, so I used it. But while using I found problems in payments by upi. Such as I had to pay in cash though I had already paid through upi transaction. When I seek for the refund, they told me to wait for 12 days . Now it has come to be 16 days with re registered complain as HIGH PRIORITY ; it seems that they only say but don?t resolve your problem.
    Ola gives you offer but they don?t know how to handle.
So, I suggest you never use online payment methods for Ola bookings.
Bad bad experience !",9/17/2016 0:00
56,Unable to make card payment,qwerty@123456789,4.8.20,1,Customer care unable to solve the issue,9/18/2016 0:00
57,Nice App,Subbu_Chennai,4.8.20,5,Ride made easy,9/19/2016 0:00
58,App not working,J Nanda,4.8.20,4,"After updating, it?s not working. Stuck on app logo",9/20/2016 0:00
59,Not working the latest patch,Umeshdes,4.8.20,5,Tried installing new patch but ola stopped working on iPhone 6 Plus from last 3 days. It?s pathetic to see,9/21/2016 0:00
60,oLA app not working,om428,4.8.20,1,"Hi team,

Looks app dooesnt load at all. Its just a white screen with ola logo.
Looks after new update it went down.",9/22/2016 0:00
61,Latest version is slow with screen-freeze,Avik Gupta,4.8.20,2,What?s gone wrong with this app? Or is it my phone thats the culprit? The latest update of my favorite taxi app seems to be a resource guzzler: freezes the screen indefinitely and all the impatient screen-taps in the meanwhile result in multiple bookings. Very poor quality performance on my iOS 12.3.1,9/23/2016 0:00
62,Very expensive,Rashi..,4.8.20,1,It is way too expensive than Uber. Disappointing.,9/24/2016 0:00
63,Ola Money,Aloke Dutta,4.8.20,1,"This is extremely disturbing that in the name of KYC verification, OLA money is continuously calling me repeatedly 3-4 times a day. In spite of telling them that my KYC verifications is completed, they keep on calling me. It seems you have given this job to be done to multiple 3rd party and they have no clue to know that KYC verification is completed. 
Can somebody help me to STOP THIS NONSENSE?",9/25/2016 0:00
64,Not working,Ananda Bhunia,4.8.20,1,Can?t load any user interface...stuck on ola logo,9/26/2016 0:00
65,Costly,raju sirvi,4.8.20,5,Costly,9/27/2016 0:00
66,Ola money unaccepted,HardGamer690,4.8.20,1,"I?m Devashish I travel to college and many places frequently.I don?t like carrying cash along with me so I put Ola money as a mode of payment
These Ola drivers have started a new drama
They come to the location and ask what the payment method is 
When I let them know that the method is by Ola money they ask me to cancel the ride and I?m being charged extra 15 rupees every time
This issue needs to be fixed urgently
Otherwise the app is really good and has helped me a lot.
App developers please take care of this issue.",9/28/2016 0:00
67,Upgraded Not Working,SureshMano,4.8.20,1,"Once I upgraded to the latest version of Ola app, the app open and nothing is shown. Just white screen !!!!",9/29/2016 0:00
68,Ride,Kiran Kothule,4.8.20,5,Great ride,9/30/2016 0:00
69,Exploiters,djjinesh,4.8.20,1,"Worst service ever....A ride which used to be worth 90-100 Rs. is now Rs. 400!!!!

Ride fare maybe a bit higher than usual, but how much high? Four to five times????

They first handicap you, and now they are just looting in peak hours and even otherwise.

And even after buying an ola pass, my ride gets booked at a higher rate than other non pass user.

And most of the time ride never gets booked.",10/1/2016 0:00
70,No1 - Fraud,Shivakumar Shivapuji,4.8.20,1,"They price you too high without prior intimation

The driver stops in the middle of road and tells to get down and says app is not working.

Takes long drive even when there are other shorter and fastest routes 

Drivers are unprofessional",10/2/2016 0:00
71,Ola app is not opening after the update.,aries1306,4.8.20,3,In ios 12.3.1 ola app is not opening. The app shows ola logo on the top with blank screen and strucks there. Kindly fix.,10/3/2016 0:00
72,Pathetic Service,Surya_123,4.8.20,1,"We booked an ola cab in the middle of the road the driver asked us to end the ride and pay by cash instead of ola money because he will not earn in ola money as per him. The driver was totally rude and stopped us in the middle of road and asked to book us an another cab and was not at all ready to leave. A traveller like us who is unknown to the city and depends on the services and in return we are getting a service like this. Really pathetic i will never choose Ola no matter what it has ruined our experience. We?ll try and recommend our friends and family as well to never take ola for services like this

Request you to kindly look into the matter and suspend the driver",10/4/2016 0:00
73,Drivers Denied to Go most of the times.,ttarrun,4.8.20,1,I am a frequent traveller of OLA mostly i book cab on night but every time i have to face the issue that driver denied to go on the location and said the toll problems which is already included in cab fares .Most of the time i have to cancel two to three cabs regarding driver denies to go .,10/5/2016 0:00
74,WORST  OLA ride in CHENNAI.,gaya3_303,4.8.20,1,"I have been traveling with Ola for years in many cities . 
In Chennai also , I have travelled a lot. 
As usual I booked Ola and I waited for the driver to come for 10min and once I sat inside the auto with my bags he asked me the otp which I shared . After that he asked me ola money or cash .. I said it?s Ola money . The second I said that he got so annoyed and gave me two choice leave the auto or cancel the ride and pay him the money. I told him I don?t have money that?s the reason why I booked Ola using Ola money. He said Cancel the ride and leave the auto .
(I am not a person from Tamil Nadu but i can understand the language..cannot speakthough) I said no .. so he canceled the ride by himself. The second he did that I called the customer care still sitting inside the auto because I was so mad ( this is the second time this happening to me .. where I called the customer care talked to them filed a complain and I was promised it won?t happen again ) The customer care executive talked to the driver for 5 min and then passed the phone to me and told me he canceled it .. please wait for few min I have booked another auto for you . I waited and. I received a call from another Ola driver few min after saying he reached the location but he was nowhere there. Two streets ahead he was . They put the wrong location I kept calling him again and again .
He was like I can?t find you cancel the booking .. I didn?t even cancel before that I received a message saying 15rs charged for canceling the Ola ride. I called the customer care again .. she said she will book again for me . I said no thank you . There is no pointing in going now .. I am 40 min late to reach where I wanted to go. 
This is the second time this happening to me. I was burst into tears when I was speaking with her. 
 I am a girl and I want you girls to be safe. 
Just keep this in mind when you depend on Ola at night or when you want to reach somewhere important atleast in Chennai . 
The drivers are craving for money they will force you to cancel the trip and promise you to take you to the same location for that same money .. please don?t fall for that and please don?t encourage that . 
If one person say yes they will expect that from each and every person which later on create incidents like this.",10/6/2016 0:00
75,corporate expense codes are not working correctly,oakduj47788,4.8.20,1,"corporate expense codes not working correctly in the app , it doesnt display list also codes get vanished without its utilization",10/7/2016 0:00
76,not working,notify1,4.8.20,2,"After the 2 last updates, the app is not working..",10/8/2016 0:00
77,Unnecessarily deduction of are 50,haribdq,4.8.20,1,Unnecessarily Rs 50 deducted even though ride was cancelled by driver and I had to book the cab again for the same route.,10/9/2016 0:00
78,No OTP,Fft ge,4.8.20,1,"For 4th day trying to re-login after forcibly made to do so post app upgrade. No username/ pwd option, no otp sent to mobile or email, no option for receiving otp via voice (service not working). Moving to Uber",10/10/2016 0:00
79,Review,aamrut,4.8.20,4,"Your service is very punctual for time, price are also reasonable compare to private taxi, 
I go anywhere to India no problem for price barganing to unknown area, thanks ola",10/11/2016 0:00
80,Update update,SaiKishore33,4.8.20,1,Frequently I am facing update problem@ 10 days before 200 Mb update and again today 159+ Mb update again,10/12/2016 0:00
81,Drivers not doing their duty,beenladen,4.8.20,2,The drivers are no so good at duties,10/13/2016 0:00
82,2 to 3 bookings happening unknowingly and charging cancellation charges!,zxxcvbgsfjxssxnogazzeypnvssvg,4.8.20,1,When I try to book a cab it shows no booking available.. after arranging other modes of transportation suddenly 2 booking get confirmed without my notice and driver comes to place.. this is happening back to back.. later u collect cancellation charges for the booking which I?d not done and not cancelled too.. either some app issues or doing purposely to cheat people!,10/14/2016 0:00
83,Gfsesszdhtfxidruthffgbs HFCvrvfc ftgvsdvcrgrfectdfuhjajggiffet,dihdhtyhfc,4.8.20,4,Bribery  fraud DC?s,10/15/2016 0:00
84,Worst app ever used app gets crack,faizz6946,4.8.20,1,Literally worst application on appstore third and worst service ever app gets crashed and rates get higher when needen<U+0001F624><U+0001F624><U+0001F624>,10/16/2016 0:00
85,Double standards?,Wheelspinz,4.8.20,1,"I used to be a regular on this service. Till yesterday, when I realized they are fleeing their regular customers. For the past few days I had been seeing unnaturally high fares on my app. And yesterday, when a friend of mine and myself put in the same pick up and drop, at the same time, I realized that Ola was overcharging their regular customers (like me) while giving discounts to new customers (like my friend). Tried the same experiment multiple times with the same result. Ola gave their usual explanation of fares differ at different times, without explaining why fares should vary for the same trip for two different people. Sorry, but no thanks. Shifting out.",10/17/2016 0:00
86,<U+0001F44D>,viranjay,4.8.20,5,Comfortable n safe,10/18/2016 0:00
87,Saras<U+0001F4A8>,ROSSOGULLA,4.8.20,5,"WE WANT OLA FOOD !
BDW? LOVE FROM GUJARAT..!
<U+0001F4AF>",10/19/2016 0:00
88,Location issue,Shk K,4.8.20,3,Capturing for specific address is not good with Ola at Hyderabad,10/20/2016 0:00
89,App not opening,imbuman,4.8.19,1,After the latest update the app is not loading or opening on my iphone. IOS 12.1.4 Pl review & update.,10/21/2016 0:00
90,Regarding harassment through messaging and calling,rubal1119,4.8.19,1,I used to be a regular customer through ola but everything changed a year and a half back when they gave me an postpaid facility. I fused to drive ola on regular basis. Bus even after paying ola postpaid money I am still being harassed by ola customer care to pay it again . I don?t know y but still they message and call me on regular basis to pay dues even after I have paid .,10/22/2016 0:00
91,Technical Money Issue,mzq313,4.8.19,1,"I had used the cab From Bandra to khaar
In mumbai (around 4-5 km)
The App was showing the fare for auto Rs.40/-
When i reached the destination it shows me 132 rupees.Its a huge amount for 4-5 km by an auto.Even less then the Fare of OLA taxi.
Driver was saying that it depends upon How  much time trip is taking Not the distance.
Resolve it.....
Worst experience..",10/23/2016 0:00
92,Ola cab review,Mukeshk045,4.8.19,4,"I have been using OLA services from a long time. Couple of observations which I would like to share. In cities like Ranchi and Hyderabad Most of the OLA drivers cancel the cab and leave people stranded and many a times due to this I missed my flight as after speaking they cancel the trip. Once I left my costly Air shoe by mistake in OLA cab. The cab driver refused to give it back saying that there was no shoe in the Cab. I complained this to call center but I did not got any proper response to this. Need to be more professional and customer centric. Regards,",10/24/2016 0:00
93,App related issue,arbankhan1,4.8.19,2,"Hello, the issue is that when the driver cancelled the ride I gone for support and selected the driver cancelled the ride,the app is continuously like from past 3 weeks it?s displaying sorry something went wrong, so I mean to say is that customer support is poorly managed by Ola.",10/25/2016 0:00
94,Correct your maps,Dilip andheri,4.8.19,3,Please correct your maps. The Amboli crossing road is still shown available for the cab to reach my home add in Mumbai Andheri East. It creates trouble to driver and the estimated time is never realistic,10/26/2016 0:00
95,If you get cab then good,kugve,4.8.19,3,Most drivers either cancel or don?t come. But if you get cab they are good,10/27/2016 0:00
96,Superb,moolchand sen,4.8.19,5,Superb,10/28/2016 0:00
97,No ethics,mjits,4.8.19,1,"Never ever add Ola money in your account they will start charging you twice the normal customer . Am not just making this up, just check yourself .",10/29/2016 0:00
98,Worst App,Dineshacharya,4.8.19,1,Don?t ad card to this app !! They will deduct money when ever they want and they will say it is technical problem.. getting back ur money is Like begging them to give !! It?s been 11 days I dint even get my money back !! <U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F92C><U+0001F92C><U+0001F92C><U+0001F92C><U+0001F92C>,10/30/2016 0:00
99,WORST APP EVER DOES NOT OPEN IN IOS,pikapi24,4.8.19,1,Worst app ever . It does not work in iOS or even open on iOS I wish I could give it 0 stars,10/31/2016 0:00
100,Suggestion,nampally,4.8.19,3,Is there any option to daily particular time pick up and drop service. This is really help to students and employees like school to home and home to office. This option is really time saving to customer. Please consider.,11/1/2016 0:00
101,Shameful service,prag.005,4.8.19,1,"This is such a shameless app, there is no support system available where you can make a call to customer representative. I got very bad experience with this that I was charged without taking ride and when I was trying to make a contact there was no calling systems available; just to send a feedback and a query but you can not expect any callback.",11/2/2016 0:00
102,Drivers fault,zyyyyyd,4.8.19,5,Drivers are pleasing and forcing to put rating as 5,11/3/2016 0:00
103,Unfair fare,Arbune,4.8.19,1,"Team Ola,
 
I am still not getting response on my query.
Attached are the snapshots of today?s ride details.
Rs 1,960 against Rs 889 for same ride.
Hope, you will show interest in resolving this goof-up.
 
Regards,
 
S R Arbune",11/4/2016 0:00
104,Great app,Blakshmi@123,4.8.19,5,"It is very useful but unfortunately we have to book minimum of two to three cabs as first two cabs reject/cancel themselves after knowing the dropping point.

Otherwise excellent services",11/5/2016 0:00
105,Call centre number does not work,abhishek k d,4.8.19,1,Call centre number in app does not work and can not raise complaint. They charge waiting charges every time but you can not complaint as phone number does not work and app is pathetic in this scenario.,11/6/2016 0:00
106,Issue after update,darshmanu@66,4.8.19,1,"After an update yesterday , app is not working and I badly need it as I?m out of station.",11/7/2016 0:00
107,Regarding fine on cancellation which we have to mandatorily,avi2 you,4.8.19,3,"Some driver don?t pickup also did not cancel the ride after reaching the pickup place .. then we have to gave the fine .
It?s not justified..",11/8/2016 0:00
108,Ridiculous,<U+0915><U+0941><U+0933><U+0915><U+0930><U+094D><U+0923><U+0940>,4.8.19,5,"After upgrade Ola app refuses to load on my 5s
It seems Ola trying to curtail customer base",11/9/2016 0:00
109,Worst app,Rahul0000777,4.8.19,1,Can't apply my coupons,11/10/2016 0:00
110,Worst ever,decision makers,4.8.19,1,"Ola is worst ever travelling app, it was good in the beginning but as the demand raises it automatically hikes the prize like anything. It shows variation of prize at every time of check from the same destination. Looks like a gambling game. Watchout if the customers are not statisfied with the service providers they will keep on switching over because when best become worst another best will be there to replace. Best or worst is what we decide and to keep or throw is again what we decide. Deserve less than one star rating",11/11/2016 0:00
111,Complaint,ShruthiReddyCh,4.8.19,1,Poor signals. Map shows no cabs found nearby but received 2 calls from Ola stating the booking was done twice.This happened twice on the same day.inhad to pay extra amt stating I had cancelled the ride,11/12/2016 0:00
112,I had to pay penalty for the OLA technical issue,SAM (1)(2).......!!!!!!!!!!!,4.8.19,1,"I had booked a prime sedan to travel to the airport, but there were two OLA cars at my location I don?t know how, then I got in one car and I was travelling the driver cancelled my trip. I paid the cash to him. After that OLA charged me RS.100 for cancelling two rides. I had to pay extra 100rs now. Very unhappy with the service.",11/13/2016 0:00
113,Unable to book ride,Rahul singodiyA,4.8.19,1,Two rides are booked and also for cancilation fees added,11/14/2016 0:00
114,App and service worst,Gautamdgreat,4.8.19,1,"Why app shows all time flickering of driver?
Connect it with google so that it can estimate exact time for destination for driver .
Hell !!",11/15/2016 0:00
115,Really slow!!,tgoel,4.8.19,1,"The app has suddenly become REALLY slow in booking rides. It?s taking more than 10 minutes to book a cab, only to see ?no ride found?.  and during times of emergency you can understand how troublesome that can be. Please fix it.",11/16/2016 0:00
116,Bills,pds1997,4.8.19,1,Very poor service high billing,11/17/2016 0:00
117,Driver behaviour in Hyderabad,Dinesh dinne,4.8.19,1,"Very Worst service in Hyderabad Ola drivers was cheating public <U+0001F621>
When customer booked cab the driver was unfortunately cab canceled and Ola was charged 50 rupees I never trust Ola......<U+0001F92E>

       What ever Uber is best service in.              
                   whole country .",11/18/2016 0:00
118,PATHETIC AND NEEDS TO BE BANNED,Archiontherocks,4.8.19,1,"What a service benchmark ola has set....its been more than 3 months I have been following up for KYC and these irresponsible lazy ola customer service people have done nothing....
TOP OF IT none of their customer service numbers are reachable 
Mails sent on Support email which are also never reverted back....

MOREOVER RATE ARE ALSO HIGH LIKE ANYTHING 

OLA PLEASE SHUT DOWN YOUR BUSINESS IN INDIA....

We have other other better service provider",11/19/2016 0:00
119,Poor quality aap,anupankt,4.8.19,2,Aap goes off line as soon as it is out of wifi,11/20/2016 0:00
120,Ola team not supporting travellers,Navin Chandra,4.8.19,1,"I booked a cab to airport from my location 12 hrs before for 5 am. Fare mentioned wasRs 300. No cab arrived and I received any confirmation for my ride. I had to cancel the cab at 5 am. When I checked on Ola There were cabs near me available but at a fare of Rs 522. I had to pay the amount which was 75% higher that when booked earlier.
Why Ola team is in support of this behaviour from their drivers. 
Why nobody turned up after proper booking from their app.
I am very disappointed and irritated by the system that fleece huge amounts from travellers and advocating cheap rides to people.",11/21/2016 0:00
121,Pathetic service,King_Ara,4.8.19,1,"I was waiting for cab since 1 hr every driver denies booking. I planned from Thane to Dombivli, driver spoke very rudely named Dinesh kr Bharti. What is the difference between ola & typical auto rickshaws?",11/22/2016 0:00
122,Too much wait time and surge pricing is over charging,nvarkey,4.8.19,3,The wait times for cabs is too much and the surge pricing is a rip off...,11/23/2016 0:00
123,ios problems,heroalom,4.8.19,3,after opening ola app when we book the cab then it shows its   booked but  in the screen it's still searching...why??,11/24/2016 0:00
124,Booking confirmation not shown,AvinashHaridasu,4.8.19,1,"Since the last update the app is behaving weird.. 

I can book rides.. but it doesn?t show that the booking has been confirmed.. I have to always close the app and relaunch it again to see who accepted it.. 

Yesterday unknowingly I had clicked book now thrice.. three rides were booked.. they were calling me one after the other.. to cancel my trip I had to cancel three rides

Even though I cancelled the trip it booked on its own",11/25/2016 0:00
125,Complain,yogi0503,4.8.19,1,"Not even getting an OTP to open this app worst response, I have been waiting for half an hour still I don?t get an OTP.",11/26/2016 0:00
126,Serve,kishan pari,4.8.19,1,Your server problem i cape book Nd cape book is rong person,11/27/2016 0:00
127,Ride confirmation,R J Gupta,4.8.19,3,During ride confirmation not confirm to ride on Ola display. Two rides confirm same time.,11/28/2016 0:00
128,Rising charges,nituku,4.8.19,3,It?s noted that the ola has learned a new trick as to show very high charges initially so as who ever is in emergency will take it and those who have time to wait and keep checking after half an hour or so will get a reasonable price. This happens each and every time no matter rush hours or not.,11/29/2016 0:00
