Obs,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
239,28,1,11,6,30.5,2.42,0.14,0.6,0
240,48,3,0,27,27.6,10.83,1.24,1.75,0
241,48,3,17,26,192,28.01,15.76,38.02,1
242,33,2,5,11,50.3,6.49,2.22,1.05,0
243,47,1,2,24,35.6,15.45,0.4,5.1,0
244,38,1,21,11,130.6,20.42,8.8,17.87,1
245,23,1,5,2,33.1,7.96,0.59,2.04,0
246,29,2,10,8,38,10.16,0.88,2.98,0
247,33,1,0,2,26.9,14.4,0.67,3.2,0
248,38,1,21,1,44.7,8.4,0.45,3.31,0
249,45,2,6,3,31.2,5.54,0.5,1.23,1
250,28,2,0,9,18.3,19.25,2.15,1.37,1
251,28,1,5,5,23.1,28.54,1.8,4.79,1
252,27,3,5,8,15.8,2.09,0.02,0.31,0
253,39,2,1,6,35.8,4.58,0.55,1.09,0
254,27,1,8,2,26.2,4.43,0.24,0.92,0
255,30,3,5,2,22.3,2.89,0.24,0.41,0
256,33,1,6,3,24.4,8.11,0.51,1.46,0
257,27,2,6,1,37.3,8.27,0.13,2.96,1
258,41,1,10,7,46.8,4.71,0.86,1.34,0
259,32,1,7,2,27.4,16.19,2.74,1.7,1
260,30,2,6,6,28.9,14.24,0.8,3.32,1
261,28,2,7,2,38.7,1.25,0.32,0.16,1
262,32,1,9,7,25.4,18.35,0.6,4.06,0
263,30,1,10,11,37.5,9.93,0.73,2.99,0
264,47,3,8,23,36.2,17.59,2.01,4.36,1
265,42,1,26,10,60.4,19.81,4.86,7.11,0
266,34,1,2,8,31,15.87,1.54,3.37,0
267,26,3,1,7,23.6,3.97,0.24,0.7,0
268,25,2,5,4,15.9,4.02,0.44,0.2,0
269,29,1,1,1,18.2,3.25,0.07,0.52,0
270,33,2,11,9,29.9,14.13,1.41,2.81,0
271,35,1,15,11,52.3,6.77,2.32,1.23,0
272,46,1,27,15,77.7,23.99,2.76,15.88,0
273,44,3,1,6,63.1,8.37,2.05,3.23,1
274,46,1,6,18,50.9,3.7,0.78,1.1,0
275,33,4,9,0,61.9,5.25,2.37,0.88,0
276,45,4,7,0,152.7,13.76,9.25,11.77,1
277,35,1,16,12,24.4,21.32,0.93,4.27,0
278,29,1,6,2,36.5,16.75,2.27,3.84,0
279,30,1,6,0,20.4,7.8,0.48,1.11,0
280,38,1,18,19,44.4,4.54,0.62,1.4,0
281,34,3,2,14,17.7,6.81,0.5,0.71,0
282,36,4,12,11,52.8,21.91,2.37,9.2,0
283,40,1,7,1,22.5,6.79,0.59,0.94,0
284,26,1,4,0,45.9,12.42,1.09,4.61,0
285,52,4,20,11,118.6,6.77,3.56,4.46,0
286,39,4,5,12,22.8,5.47,0.64,0.61,0
287,27,2,8,7,23.2,11.93,0.52,2.25,0
288,52,1,9,11,24.7,19.28,0.83,3.93,1
289,39,1,9,6,43.1,6.24,0.51,2.18,0
290,33,1,7,0,33.7,14.93,1.75,3.28,1
291,25,2,2,1,23.4,9.73,0.57,1.71,0
292,44,2,23,1,57.6,0.54,0.2,0.11,0
293,49,2,21,29,167.8,6.88,1.44,10.1,0
294,41,1,13,21,58,23.77,5.61,8.18,0
295,40,1,3,11,37.5,16.39,2.8,3.34,1
296,33,2,0,11,18.9,1.23,0.1,0.13,0
297,27,3,6,4,40.9,10.41,1.46,2.79,0
298,32,1,16,10,35.3,3.77,0.8,0.53,0
299,43,1,17,0,65.2,16.71,6.6,4.29,0
300,38,2,3,18,25.7,10.92,1.67,1.14,1
301,36,1,18,14,41,2.43,0.24,0.75,0
302,38,2,7,17,41.5,13.63,2.73,2.92,0
303,32,1,14,0,33.9,2.44,0.26,0.57,0
304,30,1,0,11,17.1,0.51,0.04,0.05,0
305,26,4,1,0,25.6,8.99,1.29,1.01,1
306,31,1,11,6,32.6,4.88,0.41,1.18,1
307,34,1,15,2,76.8,24.71,8.62,10.36,1
308,31,1,8,3,34.9,7.61,0.96,1.69,1
309,48,2,28,11,168,10.47,3.85,13.74,0
310,29,1,9,0,29,4.54,0.21,1.1,1
311,36,2,4,17,42.2,7.65,0.92,2.31,0
312,29,1,11,7,57.5,3.06,0.49,1.27,0
313,33,2,9,2,30,13.8,0.96,3.18,0
314,39,1,15,5,43,7.26,1.12,2,0
315,42,1,0,21,18.8,5.93,0.22,0.89,0
316,25,1,7,3,28.7,5.79,0.27,1.4,1
317,36,4,11,14,64.9,16.8,7.37,3.53,1
318,44,1,15,2,44.3,5.51,1.6,0.84,0
319,36,2,4,16,38.1,8.07,1.25,1.82,0
320,27,1,0,8,17.8,3.95,0.04,0.67,0
321,37,1,12,12,36.2,7.42,0.6,2.08,0
322,38,3,11,8,45.3,11.12,1.68,3.36,0
323,31,2,10,7,42.3,7.84,1.45,1.86,0
324,36,1,18,14,44.4,17.13,4.56,3.05,0
325,25,2,4,5,21.5,6.27,0.05,1.29,0
326,46,1,10,3,38.3,7.01,0.34,2.34,0
327,29,3,3,7,34.4,10.25,1.46,2.06,0
328,41,2,5,2,28.5,2.99,0.36,0.49,0
329,40,1,12,16,32.8,3.23,0.56,0.5,0
330,34,1,10,10,22.7,9.74,0.14,2.07,0
331,24,1,6,2,18.9,5.26,0.1,0.9,0
332,27,3,5,1,28.6,7.97,1.06,1.21,0
333,25,1,9,4,34.7,1.26,0.13,0.3,0
334,36,3,11,12,51.7,6.5,0.54,2.82,1
335,38,1,5,2,25.2,5.52,0.61,0.78,1
336,46,1,14,16,43.6,22.7,3.76,6.14,0
337,34,4,7,14,41.7,15.36,1.74,4.66,0
338,37,2,2,14,26.3,42.09,3.54,7.53,1
339,30,1,2,6,19.9,27.14,3.19,2.21,1
340,37,1,18,8,48.2,11.25,4.17,1.25,0
341,36,1,2,0,31.2,2.34,0.16,0.57,0
342,24,4,0,5,27.9,3.08,0.04,0.81,0
343,31,4,1,6,36.4,3.46,0.35,0.91,0
344,26,3,0,4,27.3,17.32,0.84,3.89,0
345,39,1,16,4,31.4,6.23,1.03,0.92,0
346,52,4,27,17,174,2.44,2.21,2.04,0
347,26,2,4,0,25.2,29.06,1.54,5.79,1
348,45,1,5,17,28.3,0.08,0.01,0.01,0
349,37,1,18,0,108.8,20.61,13.27,9.15,1
350,36,2,0,6,47.8,4.07,0.25,1.69,0
351,49,1,20,5,95.6,25.08,6.33,17.65,1
352,37,1,13,4,33.3,4.36,0.24,1.21,0
353,29,2,9,9,40.1,8.18,1.58,1.7,0
354,40,2,5,12,52.6,4.64,1.17,1.27,0
355,36,4,1,10,41.4,26.58,5.05,5.95,1
356,40,1,12,6,43.2,13.88,1.07,4.92,0
357,40,1,2,4,33.9,9.65,1.44,1.83,0
358,38,1,12,0,52.1,8,0.26,3.91,0
359,30,1,8,6,29.5,12.03,0.98,2.57,0
360,29,1,1,1,16.1,5.51,0.13,0.75,1
361,29,3,3,3,35.1,3.99,0.68,0.72,0
362,26,4,2,6,50.1,2.5,0.56,0.69,1
363,28,4,0,5,32.5,13.14,2.37,1.9,1
364,43,2,19,9,74.7,8.24,2.92,3.23,0
365,31,1,7,1,39.3,5.43,0.3,1.83,0
366,23,1,2,0,18.8,7.56,0.66,0.76,0
367,39,1,3,9,40.7,24.33,4.12,5.78,0
368,39,1,1,4,26.1,21.96,3.65,2.09,1
369,31,1,8,8,51.3,19.85,6.1,4.08,1
370,28,1,4,2,17.8,4.85,0.09,0.77,0
371,46,1,6,19,24,2.91,0.27,0.43,0
372,38,1,20,1,62.3,8.61,1.11,4.25,1
373,26,2,5,6,36.7,16.09,1.37,4.54,0
374,44,2,18,4,247,5.32,2.02,11.12,0
375,42,3,9,4,40.9,3.12,0.42,0.86,0
376,45,2,16,2,70.5,4.32,1.34,1.71,0
377,32,1,10,13,34.4,8.5,1.5,1.43,0
378,25,1,6,6,23.7,4.25,0.27,0.73,0
379,54,1,16,16,42.6,14.85,2.09,4.24,0
380,23,1,7,3,29.4,3.86,0.23,0.9,0
381,41,2,8,21,42.9,3.97,0.13,1.58,0
382,34,2,1,0,28.8,7.91,1.05,1.23,1
383,50,1,2,29,29.5,9,1.22,1.43,0
384,40,1,6,6,25.9,9.73,1.09,1.43,0
385,48,3,25,5,152.8,12.03,7.17,11.21,0
386,27,2,4,6,32.6,19.81,0.46,6,0
387,38,2,13,9,41.9,11.94,0.24,4.76,0
388,37,2,17,3,41.6,11.54,1.4,3.4,0
389,33,1,0,6,20.8,3.58,0.34,0.41,0
390,48,3,22,22,186.9,7.69,2.33,12.04,0
391,32,1,0,7,14.2,10.65,0.46,1.05,1
392,30,1,0,11,19.1,9.73,0.42,1.44,1
393,26,4,1,5,34.4,8.39,1.88,1.01,1
394,24,1,3,2,16.4,1.81,0.04,0.25,0
395,40,1,17,8,53.8,14.68,3.86,4.04,0
396,40,2,6,0,26,12,0.71,2.41,0
397,36,5,2,1,30.4,10.97,0.52,2.81,0
398,45,2,11,17,76.1,1.95,0.71,0.77,0
399,36,5,5,12,112.5,8.18,4.14,5.06,1
400,39,2,18,9,60.2,2.14,0.51,0.78,0
401,36,1,18,9,30.3,7.78,0.66,1.7,0
402,50,2,22,0,194.9,9.91,10.99,8.32,0
403,37,2,0,4,31.6,14.89,1.29,3.42,1
404,46,4,18,13,86.6,7.05,2.45,3.65,0
405,31,3,4,5,36.6,22.47,2.28,5.95,1
406,37,4,3,17,49.7,3.35,0.76,0.91,0
407,33,1,14,8,26.6,24.06,5.02,1.38,0
408,28,1,8,6,27.5,5.29,0.24,1.22,0
409,41,1,24,5,61.1,8.95,2.37,3.1,0
410,36,1,12,6,47.3,5.78,2.47,0.27,0
411,34,2,1,2,26.3,4.94,0.77,0.53,0
412,31,1,15,2,36.8,21.33,1.26,6.59,0
413,29,1,4,4,18.6,3.77,0.13,0.57,0
414,31,1,7,12,36.6,16.1,2.36,3.53,0
415,26,2,3,1,28.5,17.19,2.14,2.76,1
416,42,1,4,4,24.1,4.79,0.25,0.9,0
417,34,1,16,13,45.2,18.32,2.64,5.64,0
418,37,4,14,4,39.3,2.07,0.56,0.25,0
419,37,1,1,14,22,3.61,0.17,0.63,0
420,33,3,0,4,27.3,20.38,0.79,4.77,0
421,36,1,8,6,27.6,5.39,0.39,1.1,0
422,30,1,5,10,27.7,11.76,0.93,2.33,0
423,32,2,2,13,27,8.32,0.6,1.64,0
424,40,3,0,13,36.4,6.74,1.2,1.26,1
425,29,2,9,8,40.1,1.92,0.13,0.64,0
426,25,1,1,3,20.5,6.46,0.36,0.97,0
427,51,1,23,7,81.6,11.92,5.23,4.49,0
428,34,2,14,3,56.1,17.39,5.01,4.74,1
429,47,3,9,1,106.1,4.41,1.53,3.15,1
430,35,1,5,5,19.9,14.13,1.07,1.74,0
431,33,2,8,5,23.6,6.62,0.47,1.09,0
432,51,1,14,0,40.4,3.38,0.54,0.83,0
433,26,2,0,7,22.1,13.17,0.5,2.41,0
434,34,1,10,3,32.4,9.64,1.64,1.49,0
435,23,2,0,4,15.8,9.36,0.74,0.74,0
436,45,1,16,13,60.9,8.45,2.25,2.89,0
437,30,1,7,5,22.5,15.09,0.48,2.91,0
438,29,1,6,9,20,11.62,0.29,2.03,0
439,37,2,14,18,49.7,29.77,2.99,11.81,0
440,34,1,18,10,43,15.46,2.67,3.98,0
441,50,2,16,14,84.7,5.04,0.39,3.88,0
442,31,1,2,7,20,24.67,1.4,3.53,0
443,34,3,1,9,26.5,18.63,1.16,3.78,0
444,23,1,5,4,20.4,11.19,1.11,1.17,0
445,42,1,13,7,34.7,11.58,0.02,3.99,0
446,55,1,8,24,25.3,24.54,2.78,3.43,0
447,42,3,17,5,88.6,3.57,0.26,2.9,0
448,33,2,8,7,37.4,1.34,0.09,0.41,0
449,32,4,1,12,26.3,12.11,1.75,1.43,1
450,29,2,1,7,48.2,4.2,0.85,1.17,1
451,34,1,5,10,24.9,16.06,1.33,2.67,0
452,50,1,15,18,46.3,5.81,0.46,2.23,0
453,32,1,11,7,37.7,2.61,0.38,0.61,0
454,32,1,10,0,22.4,6.85,0.51,1.02,0
455,31,2,1,7,28.3,10.84,0.27,2.8,0
456,27,1,7,2,21.8,30.15,1.39,5.19,1
457,46,1,1,15,21.9,14.84,1.44,1.81,1
458,43,2,16,10,45.6,7.99,0.34,3.3,0
459,38,1,21,2,63.8,5.35,0.84,2.57,0
460,33,4,8,10,45,2.87,0.42,0.88,0
461,23,4,0,4,15.3,12.71,0.69,1.25,1
462,28,1,11,4,28.4,23.57,1.96,4.73,0
463,28,1,5,6,20.3,1.66,0.02,0.32,0
464,20,3,0,1,29.3,2.32,0.08,0.6,0
465,43,1,16,7,66.9,17.63,1.7,10.1,0
466,42,1,5,9,24.2,27.38,1.5,5.13,1
467,39,1,22,19,58.7,0.58,0.09,0.25,0
468,44,3,1,8,20,26.98,0.74,4.66,1
469,36,1,19,14,90.4,2.27,0.18,1.87,0
470,49,2,28,29,223.3,7.21,2.69,13.41,0
471,31,1,3,5,22.2,26.4,3.92,1.94,1
472,35,1,14,14,40.4,9.88,1.47,2.52,0
473,38,1,0,14,20.2,12.01,0.99,1.44,0
474,29,4,0,10,104.7,10.76,4.2,7.06,1
475,39,3,16,14,90.3,10.27,2.59,6.69,0
476,33,1,16,4,30.5,10.44,2.54,0.65,0
477,36,1,10,9,38.8,5.13,0.71,1.28,0
478,32,2,5,2,53.2,7.22,0.61,3.23,0
479,48,5,15,10,117.4,7.11,2.25,6.09,0
480,35,1,1,4,27.7,17.91,1.51,3.45,1
481,42,2,14,4,92.4,6.63,3.36,2.76,0
482,41,1,22,6,109.5,11.46,3.12,9.42,0
483,29,1,10,10,41,9.58,0.81,3.12,0
484,38,2,19,1,101,15.71,12.06,3.81,0
485,27,4,1,2,23.4,7.07,0.28,1.38,0
486,41,4,16,13,173.2,10.94,7.11,11.84,0
487,36,1,15,9,27.7,13.75,0.13,3.68,0
488,28,3,6,7,23.2,9.93,1.03,1.27,1
489,31,1,6,3,41.7,15.02,0.92,5.34,1
490,44,3,1,16,38.2,7.16,0.63,2.11,0
491,47,4,12,18,89,19.53,7.14,10.24,1
492,49,1,1,5,43.3,8.63,2,1.74,1
493,36,2,7,2,57.1,12.32,1.73,5.3,1
494,54,1,21,18,88.2,5.73,1.14,3.92,0
495,46,2,28,4,221.3,16.12,18.09,17.59,1
496,30,1,0,11,16,12.03,0.29,1.64,0
497,37,5,9,16,27.2,22.56,4.19,1.95,0
498,45,1,21,21,58.9,17.55,0.95,9.39,0
499,50,1,1,26,20.5,7.28,0.59,0.9,1
500,29,1,8,8,29,14.54,1.12,3.09,0
501,44,1,3,20,33.4,10.53,0.78,2.74,0
502,39,1,5,11,33.6,10.67,1.38,2.2,0
