"Title","Review"
"Worth every penny","Gifted this to my father. This is his 2nd smart phone so I have simple expectations with this but trust me it's beyond expectations. A cool buget oriented device with very good camera and battery backup for normal daily usage.Camera : 4/5Display: 5/5Battery: 5/5Value for money : 5/5Specs : 3.5/5"
"Best in the market!","It is best value for money mobile and it's camera  is awesome . Battery back up is very good and it's work very smooth"
"Good quality product","Overall good product . If I would rate it thenFront camera 5/5Rear camera 4/5Display 4/5 Design 4/ 5Performance 4/5Overall good product in this range but there is lack of finger print sensor. And in flipkart site page it is written as it is a full hd+ display but on box there is nthg specified. Don't know what's that.and last but not the least very fast delivery by flipkart. Thanq that flipkart for that."
"Pretty good","The camera is not that good . Everything else is just fine according to the price . Nice built quality , looks , display , battery , os , processor . Good for lite usage ."
"Great product","Writing this review after using 1 month of this phone &   truly saying its amazing phone in such a budget price,not only value for money but it preserves a solid hardware alsoCant upload image..... Lastly i can say is go for it if u want a nice phone with such a affordable range"
"Classy product","Overall good product . If I would rate it thenFront camera 5/5Rear camera 4/5Display 4/5Design 4/ 5Performance 4/5Overall good product in this range but there is lack of finger print sensor. And in flipkart site page it is written as it is a full hd+ display but on box there is nthg specified. Don't know what's that.and last but not the least very fast delivery by flipkart. Thanq that flipkart for that."
"Classy product","Nice product, I love it  super amazing 2 GB ram 32 GB storage,  best delivery"
"Perfect product!","Good product camera is awesome  and nice colour thank you flipkart..."
"Best in the market!","Its wonderful full experience this mobile looking good and sea blue colour is also looking nice thank u Flipkart"
"Classy product","Super mobile must buy it is good in Free Fire also it is smoothly running"
"Awesome","It's awesome display not so new type but phone camera is awesome performance is better delivered on time amazing must buy"
"Must buy!","Excellent camera excellent performance ..Redmi given tough competition for all brands in this priceVery good display and lag free for pubg ...Finally it's worth of money...???"
"Wonderful","Giving my review after 1 month of usage. Hope it helps.This is not a usual budget phone from Redmi and you will definitely feel that as soon as you hold the phone in your hand. If you upgrade to this phone from a budget 10-15k phone then you will fill the difference instantly but if you use this after using Oneplus then you might not feel the same. Redmi has tried everything to give a premium quality phone but still it lacks behind OnePlus phone in some aspects.DISPLAY: 9/10Amoled displa..."
"Just wow!","nice phone battery is good camera is good front camera is excellent back is just average night mode is cool...and over all product is perfect"
"Great product","Detailed review after 5 days of use K20 Pro , No,Killer 2.OPossitivesSD 855 Provides you the dazzling performance it will work like a charm .not even one second of lag.Camera - best in the market at this price range ,pop up is also good enough.Amoled display is just amazing screen is vibrant 1080p videos will look amazing and full scale display is also good but curve at the bottom is more (not filling the display fully)(means the clearance at the bottom is more )Even though having..."
"Worth the money","Mobile best but battery draning very fast camera quality very good but on 48 mp there is not be zoom photo, performance good"
"Highly recommended","very good photography in this mobile awesome features and low light photography so cool and description must be important so I give this review to this phone very cool phone and #flagship killer  #belive the hype #the true master #pubg users must buy this phone lag free mobile60 FPS and HDR support in ping mobile....I loved it..."
"Must buy!","Those who says k20 pro is overpriced are nincompoop.Pros-Excellent camera , portrait mode is awesome.Low light camera is good but one plus is better.sd855 is beast.Best processor.Design is awesome.Every colour veriant have someting special.Display is awesome.You can watch Netflix on Hd.L1 support out of the box.App Drawer is also available out of the box because it is running on poco launcher 2.Charging time is 1hr 28min from 0 to 100.Cons-No 27W charger in the box.No IR..."
"Mind-blowing purchase","This phone looks very good with it's unique degine.Very fluid performance.Cameras are above the my expectations love those triple cameras.Display is gorgeous.Fast charging with In box charger is pretty good & and satisfied.Speakers are loud enough.At least performance is top notch with snapdragon 855 chipset..It also has network aggression & Dual GPS..Earpeas are also loud enough..My first impressions are pretty good."
"Best in the market!","I bought this for my boyfriend and he's loving it.here is his review:I've been using an entry level smartphone since last 3 years and I had same perception like others about this device ""OVERPRICED""but after using this for a couple of weeks it totally changed my opinion, it worth every single penny you spent on it.Flipkart Delivery 4/5. it got delivered 4th dayPerformance        5/5 it's very fast , 368000 score on untutuDisplay.                   5/5 when you play a1080p or 4k video you..."
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Perfect product!","Super battery backup ....value of money and fastest delivery . .thank you Flipkart"
"Worth every penny","My lovely phone"
"Good","Product is good but camera is not good Overal ok"
"Mind-blowing purchase","Super phone quality Good  performanceSuper camera and batteryValue of money "
"Good choice","Nice products"
"Very Good","Good one, but the price is slightly high"
"Awesome","It's awesome display not so new type but phone camera is awesome performance is better delivered on time amazing must buy"
"Must buy!","Excellent camera excellent performance ..Redmi given tough competition for all brands in this priceVery good display and lag free for pubg ...Finally it's worth of money...???"
"Wonderful","Giving my review after 1 month of usage. Hope it helps.This is not a usual budget phone from Redmi and you will definitely feel that as soon as you hold the phone in your hand. If you upgrade to this phone from a budget 10-15k phone then you will fill the difference instantly but if you use this after using Oneplus then you might not feel the same. Redmi has tried everything to give a premium quality phone but still it lacks behind OnePlus phone in some aspects.DISPLAY: 9/10Amoled displa..."
"Just wow!","nice phone battery is good camera is good front camera is excellent back is just average night mode is cool...and over all product is perfect"
"Great product","Detailed review after 5 days of use K20 Pro , No,Killer 2.OPossitivesSD 855 Provides you the dazzling performance it will work like a charm .not even one second of lag.Camera - best in the market at this price range ,pop up is also good enough.Amoled display is just amazing screen is vibrant 1080p videos will look amazing and full scale display is also good but curve at the bottom is more (not filling the display fully)(means the clearance at the bottom is more )Even though having..."
"Worth the money","Mobile best but battery draning very fast camera quality very good but on 48 mp there is not be zoom photo, performance good"
"Highly recommended","very good photography in this mobile awesome features and low light photography so cool and description must be important so I give this review to this phone very cool phone and #flagship killer  #belive the hype #the true master #pubg users must buy this phone lag free mobile60 FPS and HDR support in ping mobile....I loved it..."
"Must buy!","Those who says k20 pro is overpriced are nincompoop.Pros-Excellent camera , portrait mode is awesome.Low light camera is good but one plus is better.sd855 is beast.Best processor.Design is awesome.Every colour veriant have someting special.Display is awesome.You can watch Netflix on Hd.L1 support out of the box.App Drawer is also available out of the box because it is running on poco launcher 2.Charging time is 1hr 28min from 0 to 100.Cons-No 27W charger in the box.No IR..."
"Good choice","overall best packagefingerprint unlock need improvement (time taken is ok but not much accurate- 7/10 success unlock)given charger can improved by built qualityusb type-c cable is not good (it is like local cable and packed)back case is very nicesliding camera is slightly slowsome heating while chargingbugs present can removed by updatesuper slow motion vedio some time frame freeze issueadds still present and irritatingoverall best phone"
"Mind-blowing purchase","This phone looks very good with it's unique degine.Very fluid performance.Cameras are above the my expectations love those triple cameras.Display is gorgeous.Fast charging with In box charger is pretty good & and satisfied.Speakers are loud enough.At least performance is top notch with snapdragon 855 chipset..It also has network aggression & Dual GPS..Earpeas are also loud enough..My first impressions are pretty good."
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Wonderful","excellent gaming phone"
"Unsatisfactory","Clarity less"
"Wonderful","Value for money"
"Very Good","Really nice purchage"
"Perfect product!","Excellent service......& Amazing experience"
"Good choice","Nice"
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Wonderful","excellent gaming phone"
"Unsatisfactory","Clarity less"
"Wonderful","Value for money"
"Very Good","Really nice purchage"
"Perfect product!","Excellent service......& Amazing experience"
"Good choice","Nice"
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Wonderful","excellent gaming phone"
"Unsatisfactory","Clarity less"
"Wonderful","Value for money"
"Very Good","Really nice purchage"
"Perfect product!","Excellent service......& Amazing experience"
"Good choice","Nice"
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Terrific purchase","Really nice mobile and camera is glorious style ....."
"Worth every penny","Gifted this to my father. This is his 2nd smart phone so I have simple expectations with this but trust me it's beyond expectations. A cool buget oriented device with very good camera and battery backup for normal daily usage.Camera : 4/5Display: 5/5Battery: 5/5Value for money : 5/5Specs : 3.5/5"
"Best in the market!","It is best value for money mobile and it's camera  is awesome . Battery back up is very good and it's work very smooth"
"Good quality product","Overall good product . If I would rate it thenFront camera 5/5Rear camera 4/5Display 4/5 Design 4/ 5Performance 4/5Overall good product in this range but there is lack of finger print sensor. And in flipkart site page it is written as it is a full hd+ display but on box there is nthg specified. Don't know what's that.and last but not the least very fast delivery by flipkart. Thanq that flipkart for that."
"Pretty good","The camera is not that good . Everything else is just fine according to the price . Nice built quality , looks , display , battery , os , processor . Good for lite usage ."
"Great product","Writing this review after using 1 month of this phone &   truly saying its amazing phone in such a budget price,not only value for money but it preserves a solid hardware alsoCant upload image..... Lastly i can say is go for it if u want a nice phone with such a affordable range"
"Classy product","Overall good product . If I would rate it thenFront camera 5/5Rear camera 4/5Display 4/5Design 4/ 5Performance 4/5Overall good product in this range but there is lack of finger print sensor. And in flipkart site page it is written as it is a full hd+ display but on box there is nthg specified. Don't know what's that.and last but not the least very fast delivery by flipkart. Thanq that flipkart for that."
"Classy product","Nice product, I love it  super amazing 2 GB ram 32 GB storage,  best delivery"
"Perfect product!","Good product camera is awesome  and nice colour thank you flipkart..."
"Best in the market!","Its wonderful full experience this mobile looking good and sea blue colour is also looking nice thank u Flipkart"
"Classy product","Super mobile must buy it is good in Free Fire also it is smoothly running"
"Worth every penny","Well its an awesome phone, the battery life is just amazing,its got an awesome display as well as performance,the camera quality is good enough.It is a great product at this price"
"Just okay","this is a genuine review 1_camera- this phone camera is ok dont expect too much from the camera but in this buget it can still give u good pictures.2_performance-i think performance it handle daily task easily bht cannot handle heavy games like pubg bht it can run pubg lite smoothly, also functiong is good3-battery- battery backup is good ,it can easily give u 2 days battery backup easily 4-display-display is good but not to much resposive sometime its lags and there is littlr bit of g..."
"Nice","I bought it for a family member, quite not happy with the product , it supports dual sim and all but the camera quality is not appropriate honestly , battery back is good though , but isnt it obvious as it is an MI device."
"Fabulous!","Osm mobile phone for this price Rs."
"Fabulous!","It was awesome experience Delivery agent was good...!"
"Worth the money","Nice product!! Paisa wasul"
"Simply awesome","Nice mobile good processing system and good price"
"Worth every penny","Mobile is nice but i thing company provided the back cover in mobile box"
"Terrific purchase","Awesome phone..good purchase....camera quality is also so much good...app running is also good... satisfied with this product "
"Fair","Functions are so good but phone is so heavy and it slip from hand easily so this is the drawbackMi said that it the aura grip design so that a grip forms between phone and hand but it's not true ."
"Worth every penny","Gifted this to my father. This is his 2nd smart phone so I have simple expectations with this but trust me it's beyond expectations. A cool buget oriented device with very good camera and battery backup for normal daily usage.Camera : 4/5Display: 5/5Battery: 5/5Value for money : 5/5Specs : 3.5/5"
"Best in the market!","It is best value for money mobile and it's camera  is awesome . Battery back up is very good and it's work very smooth"
"Good quality product","Overall good product . If I would rate it thenFront camera 5/5Rear camera 4/5Display 4/5 Design 4/ 5Performance 4/5Overall good product in this range but there is lack of finger print sensor. And in flipkart site page it is written as it is a full hd+ display but on box there is nthg specified. Don't know what's that.and last but not the least very fast delivery by flipkart. Thanq that flipkart for that."
"Pretty good","The camera is not that good . Everything else is just fine according to the price . Nice built quality , looks , display , battery , os , processor . Good for lite usage ."
"Classy product","Super mobile must buy it is good in Free Fire also it is smoothly running"
"Great product","Writing this review after using 1 month of this phone &   truly saying its amazing phone in such a budget price,not only value for money but it preserves a solid hardware alsoCant upload image..... Lastly i can say is go for it if u want a nice phone with such a affordable range"
"Classy product","Nice product, I love it  super amazing 2 GB ram 32 GB storage,  best delivery"
"Perfect product!","Nice product"
"Perfect product!","Vary good quality"
"Just wow!","Nice"
"Great product","It was the superb phone i bought ever . Extraordinary camera and all of things . I love phone design"
"Nice product","The mobile is overall good. I'm happy with the battery but camera is little lesser than expected. Look wise it is nice. But I'm not happy with the price. I got this for 21k. I waited for 3 months to buy this mobile. This is not value for money"
"Classy product","Nice and good product for middle classes"
"Highly recommended","Awesome phone specially camera is superb... After this phone u will need not the DSLR"
"Value-for-money","Mobile is good but price is not value for money"
"Brilliant","Super cool phone  "
"Terrific","Best budget mobile , overall good..."
"Simply awesome","awesome"
"Brilliant","Veriy nice mobile"
"Excellent","Superb phone  good camera quality  have battery backup display is also cool dont have over heating"
"Mind-blowing purchase","Just another awesome smartphone from xiaomi. The phone is just awesome the 64MP camera is just stunning and the fast charger is also awesome and TPU Case is of good quality. Thank you Flipkart for the quick delivery of my product. Keep it up and improve yourself more in the future."
"Good quality product","The product is good, all features in a package The camera lenses could have been improvised. More features for photography. Comfortable to use, set up was simple, messaging is easy. Typing is convenient. Basics in line. Would have given a 5 if camera was clearer with better lenses and the mobile weight lighter and slimmer configuration. Looking at the price value ratio, price is high for the value and benefits offered. Thanks"
"Best in the market!","Love it, worth it"
"Just wow!","Camera quality is awesome.."
"Excellent","Nice product.. Happy to buy"
"Super!","VALUE OF MONEY."
"Awesome","Nice phone worth purchasing  but need a camera update"
"Classy product","Wow "
"Just wow!","Good sarves"
"Highly recommended","Performance too good."
"Mind-blowing purchase","Just another awesome smartphone from xiaomi. The phone is just awesome the 64MP camera is just stunning and the fast charger is also awesome and TPU Case is of good quality. Thank you Flipkart for the quick delivery of my product. Keep it up and improve yourself more in the future."
"Good quality product","The product is good, all features in a package The camera lenses could have been improvised. More features for photography. Comfortable to use, set up was simple, messaging is easy. Typing is convenient. Basics in line. Would have given a 5 if camera was clearer with better lenses and the mobile weight lighter and slimmer configuration. Looking at the price value ratio, price is high for the value and benefits offered. Thanks"
"Best in the market!","Love it, worth it"
"Just wow!","Camera quality is awesome.."
"Excellent","Nice product.. Happy to buy"
"Super!","VALUE OF MONEY."
"Awesome","Nice phone worth purchasing  but need a camera update"
"Classy product","Wow "
"Just wow!","Good sarves"
"Highly recommended","Performance too good."
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Perfect product!","Super battery backup ....value of money and fastest delivery . .thank you Flipkart"
"Worth every penny","My lovely phone"
"Good","Product is good but camera is not good Overal ok"
"Mind-blowing purchase","Super phone quality Good  performanceSuper camera and batteryValue of money "
"Good choice","Nice products"
"Very Good","Good one, but the price is slightly high"
"Great product","It was the superb phone i bought ever . Extraordinary camera and all of things . I love phone design"
"Nice product","The mobile is overall good. I'm happy with the battery but camera is little lesser than expected. Look wise it is nice. But I'm not happy with the price. I got this for 21k. I waited for 3 months to buy this mobile. This is not value for money"
"Simply awesome","Nice"
"Just wow!","Good"
"Excellent","Supper"
"worth it","nice camera nice display must buy"
"Perfect product!","Excellent mobile good features thanksflipkart"
"Good quality product","Good mobile"
"Terrific","Very nice"
"Fabulous!","Good product"
"Terrific purchase","Really nice mobile and camera is glorious style ....."
"Awesome","It's awesome display not so new type but phone camera is awesome performance is better delivered on time amazing must buy"
"Must buy!","Excellent camera excellent performance ..Redmi given tough competition for all brands in this priceVery good display and lag free for pubg ...Finally it's worth of money...???"
"Wonderful","Giving my review after 1 month of usage. Hope it helps.This is not a usual budget phone from Redmi and you will definitely feel that as soon as you hold the phone in your hand. If you upgrade to this phone from a budget 10-15k phone then you will fill the difference instantly but if you use this after using Oneplus then you might not feel the same. Redmi has tried everything to give a premium quality phone but still it lacks behind OnePlus phone in some aspects.DISPLAY: 9/10Amoled displa..."
"Just wow!","nice phone battery is good camera is good front camera is excellent back is just average night mode is cool...and over all product is perfect"
"Great product","Detailed review after 5 days of use K20 Pro , No,Killer 2.OPossitivesSD 855 Provides you the dazzling performance it will work like a charm .not even one second of lag.Camera - best in the market at this price range ,pop up is also good enough.Amoled display is just amazing screen is vibrant 1080p videos will look amazing and full scale display is also good but curve at the bottom is more (not filling the display fully)(means the clearance at the bottom is more )Even though having..."
"Worth the money","Mobile best but battery draning very fast camera quality very good but on 48 mp there is not be zoom photo, performance good"
"Highly recommended","very good photography in this mobile awesome features and low light photography so cool and description must be important so I give this review to this phone very cool phone and #flagship killer  #belive the hype #the true master #pubg users must buy this phone lag free mobile60 FPS and HDR support in ping mobile....I loved it..."
"Must buy!","Those who says k20 pro is overpriced are nincompoop.Pros-Excellent camera , portrait mode is awesome.Low light camera is good but one plus is better.sd855 is beast.Best processor.Design is awesome.Every colour veriant have someting special.Display is awesome.You can watch Netflix on Hd.L1 support out of the box.App Drawer is also available out of the box because it is running on poco launcher 2.Charging time is 1hr 28min from 0 to 100.Cons-No 27W charger in the box.No IR..."
"Good choice","overall best packagefingerprint unlock need improvement (time taken is ok but not much accurate- 7/10 success unlock)given charger can improved by built qualityusb type-c cable is not good (it is like local cable and packed)back case is very nicesliding camera is slightly slowsome heating while chargingbugs present can removed by updatesuper slow motion vedio some time frame freeze issueadds still present and irritatingoverall best phone"
"Mind-blowing purchase","This phone looks very good with it's unique degine.Very fluid performance.Cameras are above the my expectations love those triple cameras.Display is gorgeous.Fast charging with In box charger is pretty good & and satisfied.Speakers are loud enough.At least performance is top notch with snapdragon 855 chipset..It also has network aggression & Dual GPS..Earpeas are also loud enough..My first impressions are pretty good."
"Terrific","Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. Nice displayAwesome processorSuperb cameraTotally Value for money..."
"Perfect product!","Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it...."
"Must buy!","It is really an awesome phone. Excellent camera clarity, super fast charing."
"Great product","Must buyy...Awesome phone love it..."
"Simply awesome","#Wow"
"Super!","Awesome Camara"
"Brilliant","Super"
"Super!","Awesome phone"
"Must buy!","Thnxxxx flipkart...."
"Very Good","Average mobile,"
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Perfect product!","Super battery backup ....value of money and fastest delivery . .thank you Flipkart"
"Worth every penny","My lovely phone"
"Good","Product is good but camera is not good Overal ok"
"Mind-blowing purchase","Super phone quality Good  performanceSuper camera and batteryValue of money "
"Good choice","Nice products"
"Very Good","Good one, but the price is slightly high"
"Worth every penny","Well its an awesome phone, the battery life is just amazing,its got an awesome display as well as performance,the camera quality is good enough.It is a great product at this price"
"Just okay","this is a genuine review 1_camera- this phone camera is ok dont expect too much from the camera but in this buget it can still give u good pictures.2_performance-i think performance it handle daily task easily bht cannot handle heavy games like pubg bht it can run pubg lite smoothly, also functiong is good3-battery- battery backup is good ,it can easily give u 2 days battery backup easily 4-display-display is good but not to much resposive sometime its lags and there is littlr bit of g..."
"Nice","I bought it for a family member, quite not happy with the product , it supports dual sim and all but the camera quality is not appropriate honestly , battery back is good though , but isnt it obvious as it is an MI device."
"Very Good","This phone is value for money. Low budget phone so dont expect too much but is a very good phone. Process application smoothly, battery life which is becoming imo these days as phone design are the same battery and camera is the only things tht can be improved. Battery lasts long in full brightness too. Camera is decent, not an iphone camera, but still does the job done. Good light abd exposure will help"
"Fair","Functions are so good but phone is so heavy and it slip from hand easily so this is the drawbackMi said that it the aura grip design so that a grip forms between phone and hand but it's not true ."
"Worth the money","Good"
"Terrific","Very nice"
"Don't waste your money","its a bad product, I faced Charging issue"
"Decent product","No phone cover or accessories are provided with it . The quality of charger is also not so good."
"Perfect product!","Nice"
"Does the job","Pros.1.Rear Camera Setup is Gorgeous And It's Work Very well.Triple camera combination is next level.2.Display Is Very Goog,No Notch, Full Screen Display Experience.3. Performance Is The next Level4.I Love Miui No lag5.premium Glass Body 6.Speaker Clearity is Very Good7.18 Walt Fast Charger in The Box.Cons.1. Very Big Cons For Me Is The Selfie Camera. I am Very Disappoint with The selfie camera20 Megapixel Pop camera is not good, picture clearity is very bad and Selfie Pics Like..."
"Fabulous!","I am using this phone last 2 days & I'm sharing my experience about this phone.1) Camera quality is awesome.2) Display quality very nice.3) Front camera with led very attractive & pictures quality also good.4) Pubg gaming play very smooth without lagging with good graphics.5) Battery life good & full charge within 1:20 to 1:30 hour.6) Value for money."
"Wonderful","excellent phone ... maybe 1000 rs excess price .. but I'm loving using it .. display is super ..  but where is the surprise for alpha sell phone holders?? camera quality is just ahead of everything !!"
"Mind-blowing purchase","Received my RedmiK20 and, wanna thanks to Flipkart for super fast delivery! I love this phone. ! it's so beautiful ?"
"Terrific purchase","*EDIT* when I don't play PUBG, I get more than 9 hrs of screen on time, watch attached screenshot for proof!reviewing after 1.5 week of intense (heavy) usage, 6GB RAM 128GB ROM1) Display - what lacked for so long in Xiaomi devices was AMOLED panels, and this panel on K20 is on par, not close enough to Samsung sAMOLED+ but good enough in bright sunlight, battery efficient with dark mode! u get ambient display, dark mode, and whenever u pick up the phone fingerprint imprint is shown at the ..."
"Worth every penny","Overall it is a very nice phone but I think could have been priced around 2000 less.Camera is really good.Display is very attractive.Colours are a bit different in real life.Battery seems to be good too.No lagging anywhere and one of the best phones till next year.Pop is a bit slow but led is very attractive and front camera is damn!!!Don't get confused just go for it"
"Nice product","I got delivered my K20 on 22nd Feb'20. Since then I checked the phone all the way. My conclusion is it is a beautiful & powerful phone. Mentioning pros & cons one by one below after 20 days of use.Pros:1) Processor: Snapdragon 730 processor is super duper fast. It processes tasks in fraction of second. Though I am not a pubg gamer but I can understand that to run pubg, 730 Snapdragon is not even required.2) Display:Be informed it is NOT 'Super' Amoled. It has only amoled display with ..."
"Terrific","CAMERA I really loved K20's camera. Excellent picture quality After zooming image is sharp & clear. Wide angle camera works very good & no lagging with video. Front camera also works great In Pop-up camera their is LED notification in above. Night vision camera gives best results.PERFORMANCE Not any issues till now Works very properly without any lagging because 6GB RAM. Cooling technology also inbuilt. Latest Qualcomm Snapdragon 730 processorDISPLAY Stunning displ..."
"Fabulous!","You all have enough reviews online,  just to tell you guys that there can't be a better phone in this price , specially people who are looking for a trustworthy & good battery on a phone. And ofcourse the new white color looks better. Go ahead!"
"Good quality product","The product is really good. The camera works really well. I liked the lighting with the pop-up camera.Cons: The fingerprint sensor is not working well with tempered glass."
"Terrific","Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. Nice displayAwesome processorSuperb cameraTotally Value for money..."
"Perfect product!","Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it...."
"Must buy!","It is really an awesome phone. Excellent camera clarity, super fast charing."
"Great product","Must buyy...Awesome phone love it..."
"Simply awesome","#Wow"
"Super!","Awesome Camara"
"Brilliant","Super"
"Super!","Awesome phone"
"Must buy!","Thnxxxx flipkart...."
"Very Good","Average mobile,"
"Just wow!","Very good, and beautiful colour"
"Slightly disappointed","Phone get heated very fast.. when its become heat it shows delay in process. But it have a good camera quality.. even it is 48pixel cam it doesn't feel a over weight.. not at all bad but it is not at all good  as said it in the promotion..."
"Terrific purchase","Thanks flipkart for delivered to fast"
"Worth every penny","Good"
"Good","Not worth for money.Just ok"
"Does the job","Pros.1.Rear Camera Setup is Gorgeous And It's Work Very well.Triple camera combination is next level.2.Display Is Very Goog,No Notch, Full Screen Display Experience.3. Performance Is The next Level4.I Love Miui No lag5.premium Glass Body 6.Speaker Clearity is Very Good7.18 Walt Fast Charger in The Box.Cons.1. Very Big Cons For Me Is The Selfie Camera. I am Very Disappoint with The selfie camera20 Megapixel Pop camera is not good, picture clearity is very bad and Selfie Pics Like..."
"Fabulous!","I am using this phone last 2 days & I'm sharing my experience about this phone.1) Camera quality is awesome.2) Display quality very nice.3) Front camera with led very attractive & pictures quality also good.4) Pubg gaming play very smooth without lagging with good graphics.5) Battery life good & full charge within 1:20 to 1:30 hour.6) Value for money."
"Wonderful","excellent phone ... maybe 1000 rs excess price .. but I'm loving using it .. display is super ..  but where is the surprise for alpha sell phone holders?? camera quality is just ahead of everything !!"
"Mind-blowing purchase","Received my RedmiK20 and, wanna thanks to Flipkart for super fast delivery! I love this phone. ! it's so beautiful ?"
"Terrific purchase","*EDIT* when I don't play PUBG, I get more than 9 hrs of screen on time, watch attached screenshot for proof!reviewing after 1.5 week of intense (heavy) usage, 6GB RAM 128GB ROM1) Display - what lacked for so long in Xiaomi devices was AMOLED panels, and this panel on K20 is on par, not close enough to Samsung sAMOLED+ but good enough in bright sunlight, battery efficient with dark mode! u get ambient display, dark mode, and whenever u pick up the phone fingerprint imprint is shown at the ..."
"Worth every penny","Overall it is a very nice phone but I think could have been priced around 2000 less.Camera is really good.Display is very attractive.Colours are a bit different in real life.Battery seems to be good too.No lagging anywhere and one of the best phones till next year.Pop is a bit slow but led is very attractive and front camera is damn!!!Don't get confused just go for it"
"Nice product","I got delivered my K20 on 22nd Feb'20. Since then I checked the phone all the way. My conclusion is it is a beautiful & powerful phone. Mentioning pros & cons one by one below after 20 days of use.Pros:1) Processor: Snapdragon 730 processor is super duper fast. It processes tasks in fraction of second. Though I am not a pubg gamer but I can understand that to run pubg, 730 Snapdragon is not even required.2) Display:Be informed it is NOT 'Super' Amoled. It has only amoled display with ..."
"Terrific","CAMERA I really loved K20's camera. Excellent picture quality After zooming image is sharp & clear. Wide angle camera works very good & no lagging with video. Front camera also works great In Pop-up camera their is LED notification in above. Night vision camera gives best results.PERFORMANCE Not any issues till now Works very properly without any lagging because 6GB RAM. Cooling technology also inbuilt. Latest Qualcomm Snapdragon 730 processorDISPLAY Stunning displ..."
