n,fuel,fert,herb,seed,labor,mach,land,Output
Farm24,109.6154667,133.4365089,163.6578064,150.5498144,1113.678344,38.51292035,144,57493.68
Farm25,998.2304,470.7257784,330.6659205,986.5465656,3050.826433,263.8130088,937.7,511479.306
Farm26,161.3232,73.18150249,225.0277001,153.9463181,490.8065287,21.44115044,158.2,71349.64
Farm27,77.69546667,21.56927885,45.81337437,36.79656559,23.36066879,10.00637168,36,11908.8
Farm28,657.3290667,1012.396574,886.1186346,689.3114171,2665.748408,221.9661062,600,375535.096
Farm29,77.72693333,49.39622642,158.9535534,159.0792079,1049.281051,26.8719469,103,46013.8
Farm30,193.0613333,251.5707837,247.3665361,155.9670483,1489.669586,83.98433628,126,49606.2
Farm31,427.2026667,519.0861211,498.1085618,466.1336634,1698.019108,166.8672566,500,226784.1
Farm32,183.3290667,85.28533395,161.3094572,115.6981745,889.3089172,49.45858407,121.4,84357.972
Farm33,1040.9552,1520.950457,761.0486849,1373.124691,8168.789809,424.420531,1136.4,865673.118
Farm34,477.6784,734.8371339,648.0567991,541.460396,1483.797771,219.4046903,895.3,227698.847
Farm35,498.6224,476.9070494,1409.900392,624.5445545,1068.859076,74.35530973,562,140934.394
Farm36,1195.2704,1531.6216,1228.20817,1353.217822,3444.208599,311.1724779,1232,701170.75
Farm37,41.86773333,913.3682139,806.0053162,1625.801052,1454.445064,2157.518584,1258.6,785020.635
Farm38,255.7386667,737.1020951,513.7590935,969.6082921,4933.076433,125.2707965,908.36,556759.945
Farm39,815.2608,1140.930316,1127.748181,1459.318688,3858.39172,217.970177,1025.36,537277.79
Farm40,2104.799467,2219.562449,1035.366536,2094.693688,6941.589172,245.030885,1682,1055198.34
Farm41,105.6944,364.2702859,92.51454952,370.5445545,3640.051752,62.65486726,348.3,176567.202
Farm42,2286.341333,2159.451325,1297.146055,1415.006188,5732.39172,524.5117699,1146.2,616427
Farm43,740.4282667,1302.234055,482.6524902,1021.039604,1582.41879,112.1747788,750,357000
Farm44,167.1408,222.0866998,257.8242865,189.3100248,1087.53742,76.26424779,236.7,78214.95
Farm45,198.8549333,187.0912143,229.3850028,243.9091894,1209.071656,110.0069912,208.5,64203.822
Farm46,61.65333333,207.4317629,147.9756575,104.4436881,478.9235669,10.52185841,177.6,66402.794
Farm47,497.3296,509.3182081,1071.936206,461.9121287,2163.828822,112.8923894,500,205273.95
Farm48,161.5637333,146.9465216,250.8181309,206.023979,1248.917197,46.57380531,236.4,76874.928
Farm49,204.776,171.1702743,163.8866816,196.1045792,1041.548567,47.15123894,244,101223.772
Farm50,262.3157333,226.5076977,441.4661444,249.9381188,731.8726115,140.5590265,219.3,76468.44
Farm51,130.8176,95.52286144,179.238948,82.09591584,782.116242,31.09522124,128,46651.912
Farm52,617.3242667,530.3320986,437.0036374,705.4274443,2928.389331,150.9250442,543.3,200481.185
Farm53,762.1194667,1499.942123,666.8718523,879.130724,5012.219745,126.0429204,753,285830.454
Farm54,570.8213333,1024.134738,500.9233352,594.4616337,1713.176752,245.0186726,566.8,249642.12
Farm55,440.8501333,363.4240074,642.0461668,439.9263614,2054.178344,237.320354,463.7,141923.262
Farm56,63.23146667,204.3640468,163.5128707,155.955755,924.4347134,111.3133628,192.23,57789.194
Farm57,159.3312,179.3147355,170.5372132,241.8626238,1868.610669,66.8099115,189.2,58853.49
Farm58,287.9264,465.2135664,709.4851707,459.3876856,2017.591561,40.48300885,529.48,184438.316
Farm59,950.5653333,954.5086237,1514.577504,627.4907178,3940.574841,258.2886726,966.2,384604.937
Farm60,118.8122667,87.41474708,191.1698377,54.43378713,526.2062102,57.70088496,102.78,45305.05
Farm61,165.7594667,348.6711425,121.5671517,142.7452042,891.8503185,33.90637168,202.2,61097.351
Farm62,69.07146667,59.85646487,33.57582541,74.25742574,233.0366242,16.78707965,59.91,19403.902
Farm63,647.6538667,1089.072925,572.2655288,606.8558168,2868.909236,295.790531,612,200265.592
Farm64,648.4586667,878.7359648,776.1052043,694.6316522,2653.753185,152.7087611,544.33,252460.8
Farm65,23.37173333,42.82903114,41.96978176,46.78279703,151.2133758,13.94725664,47.3,11185.504
Farm66,494.5968,880.355944,746.2227196,825.4794245,2087.649682,190.9369912,889,291869.5
Farm67,264.1610667,365.343211,215.6407387,390.3310644,810.455414,50.38743363,367.6,137882.82
Farm68,36.92533333,42.48234749,20.07302742,66.35767327,252.7173567,10.44433628,54,8169.3
Farm69,88.01333333,267.8502141,129.4297706,356.0736386,995.3431529,27.05292035,219,108186
Farm70,932.6885333,524.4132423,605.2031337,715.0826114,2821.374204,66.79814159,1010.37,448998.491
Farm71,186.8522667,217.4890612,228.7520985,163.7925433,1361.464968,54.41823009,299,135566.028
Farm72,185.8266667,206.7299456,391.8925574,250.6270111,877.3280255,51.34530973,170,93925
Farm73,732.6864,502.026855,380.4784555,476.5717822,2805.707006,179.2772566,396.06,272388.648
Farm74,1016.445333,1329.70529,1230.911304,1280.503713,8580.496815,407.1710619,1115.08,637918.363
Farm75,2365.043733,2946.579234,1646.451595,1918.825495,3209.789809,1101.294602,1519.5,1066196.602
Farm76,2053.8512,1488.123047,1339.982373,1878.177754,7134.086783,466.4376991,1480,1108081.328
Farm77,2073.170667,1436.374002,976.355624,1392.982673,6490.964172,224.429646,1242,771598.68
Farm78,516.8426667,679.5544623,316.4669838,465.2277228,2712.527866,155.239469,379.7,176344.071
Farm79,242.3658667,414.6659336,535.6578064,294.0915842,3032.602707,167.2006195,219.51,109580.334
Farm80,43.26666667,499.8291469,373.8100168,400.7314356,1837.656847,439.5849558,278.8,134908.95
Farm81,343.9242667,622.0845005,978.1007275,532.6952351,2623.270701,136.6092035,393,217600.17
Farm82,529.8533333,265.9330941,365.5581981,402.4933478,1850.230892,48.83168142,290.5,143543.313
Farm83,801.368,921.0364626,733.227756,905.5108292,1983.382166,196.0851327,783.2,584757
Farm84,23.64586667,7.156499595,7.72887521,13.92326733,60.65286624,4.56840708,20,1636
Farm85,365.7744,508.4381294,346.1057639,464.8149752,812.9482484,128.4159292,501.94,166252.04
Farm86,64.08053333,36.92557009,88.61219922,125.6188119,314.4625796,24.26973451,116,31856.92
Farm87,112.0906667,110.545202,267.2076105,142.1875,866.183121,106.9824779,213,38787.837
Farm88,57.2976,42.96295868,192.3251259,78.7137995,338.6289809,41.05389381,112,28798
Farm89,1925.704,1529.274222,2617.711248,1296.936881,4479.139331,501.0671681,2039.6,365033.821
Farm90,154.2336,28.16298183,53.24566312,213.1342822,553.897293,96.67292035,310,116698.715
Farm91,80.63253333,57.04363931,73.51259093,54.57920792,491.2133758,25.79646018,112.29,39252.328
Farm92,330.888,73.26739206,396.6561276,216.5841584,948.4307325,69.2139823,269.7,69164
Farm93,644.1317333,391.4806112,986.3435926,501.5162438,2856.861465,190.1265487,716.02,283236.99
Farm94,1546.877333,1652.355597,2620.229435,2427.87995,5227.257166,296.4910619,3123.1,1084810.116
Farm95,179.6090667,218.7290196,443.0889759,191.9399752,838.4737261,64.47265487,250.25,34838.648
Farm96,168.7584,151.490103,108.7395076,174.8474629,550.0318471,121.7790265,288.9,80065.35
Farm97,202.7264,353.2131034,794.0209849,576.664604,1417.613854,433.8711504,1221.56,439383.907
Farm98,130.6026667,50.5719412,125.0117515,99.73700495,460.8367834,60.35654867,157.8,28656.48
Farm99,1215.7296,78.0530154,1213.346391,611.3706683,3683.625,149.2529204,1166.17,324592.583
Farm100,1215.7296,78.0530154,1213.346391,611.3706683,3683.625,149.2529204,1166.17,324592.583
Farm101,717.6506667,247.5538836,294.2926693,396.3363243,1984.379777,203.1833628,821.6,112260.525
Farm102,21.9968,93.63977312,186.850028,80.44554455,106.8479299,21.42690265,54,13671.36
Farm103,987.112,554.9197824,763.9370453,489.3972772,1486.647293,255.1353982,762.59,228701.947
Farm104,12.58986667,4.42180808,12.7308338,4.470915842,15.08996815,2.257522124,8,1565.6
Farm105,604.0538667,357.8000926,1051.090375,353.546875,2204.741242,173.8042478,816.03,195622.88
Farm106,95.16213333,134.9923602,575.1964186,19.33787129,301.2675159,68.96061947,122.9,43407.488
Farm107,20.94666667,194.3156615,225.4062675,99.32240099,357.6568471,111.3907965,144,61560
Farm108,23.61546667,28.11031369,33.83044208,29.63304455,179.714172,14.63787611,68,15776
Farm109,245.1530667,169.5579349,951.5221041,171.7388614,1301.567675,79.88212389,355.6,96302.867
Farm110,53.5824,124.3795578,153.7386682,115.1454208,183.0820064,13.58168142,76.9,18131.877
Farm111,537.952,340.2940155,419.6373811,391.9882426,2324.83758,222.8743363,434.25,237075.784
Farm112,43.31786667,35.73920593,26.80358142,48.59112005,318.0382166,25.51150442,40.6,11524.554
Farm113,726.5552,1190.529691,679.2800783,794.7201423,4074.592357,202.8904425,534,344430
Farm114,185.9989333,144.4381294,324.6052043,156.5594059,576.8980892,46.85079646,159.64,68112.637
Farm115,1614.949867,1857.116333,956.1516508,1376.925124,5103.118631,247.3034513,1409.19,764815.166
Farm116,598.2613333,394.6810973,282.4983212,434.3440594,1709.273885,179.5268142,443.55,199564.392
Farm117,1262.767467,1988.077324,1279.238948,1503.016708,6063.349522,401.2864602,1143,585216
Farm118,3694.192,969.4484315,752.4289312,1434.643564,10914.52627,414.3321239,1187.65,694326.01
Farm119,525.5221333,291.0043987,594.9149412,594.5032488,2499.649682,47.90176991,500.8,282548.175
